Lat;24.04;lon;76.58
Datetime;Year;Month;Day;Data
1985-03-01;1985;3;1;0.0
1985-04-01;1985;4;1;0.0
1985-05-01;1985;5;1;0.0
1985-06-01;1985;6;1;2.5
1985-07-01;1985;7;1;131.0
1985-08-01;1985;8;1;404.3
1985-09-01;1985;9;1;341.0
1985-10-01;1985;10;1;241.5
1985-11-01;1985;11;1;0.0
1985-12-01;1985;12;1;0.0
1986-01-01;1986;1;1;0.0
1986-02-01;1986;2;1;0.0
1986-03-01;1986;3;1;0.0
1986-04-01;1986;4;1;0.0
1986-05-01;1986;5;1;0.0
1986-06-01;1986;6;1;90.2
1986-07-01;1986;7;1;562.1
1986-08-01;1986;8;1;171.4
1986-09-01;1986;9;1;21.8
1986-10-01;1986;10;1;0.0
1986-11-01;1986;11;1;0.0
1986-12-01;1986;12;1;0.0
1987-01-01;1987;1;1;0.0
1987-02-01;1987;2;1;0.0
1987-03-01;1987;3;1;0.0
1987-04-01;1987;4;1;0.0
1987-05-01;1987;5;1;0.0
1987-06-01;1987;6;1;58.6
1987-07-01;1987;7;1;156.9
1987-08-01;1987;8;1;209.7
1987-09-01;1987;9;1;85.3
1987-10-01;1987;10;1;43.7
1987-11-01;1987;11;1;0.0
1987-12-01;1987;12;1;0.0
1988-01-01;1988;1;1;0.0
1988-02-01;1988;2;1;0.0
1988-03-01;1988;3;1;0.0
1988-04-01;1988;4;1;0.0
1988-05-01;1988;5;1;0.0
1988-06-01;1988;6;1;100.4
1988-07-01;1988;7;1;308.3
1988-08-01;1988;8;1;325.9
1988-09-01;1988;9;1;118.1
1988-10-01;1988;10;1;17.5
1988-11-01;1988;11;1;0.0
1988-12-01;1988;12;1;0.0
1989-01-01;1989;1;1;0.0
1989-02-01;1989;2;1;0.0
1989-03-01;1989;3;1;0.0
1989-04-01;1989;4;1;0.0
1989-05-01;1989;5;1;0.0
1989-06-01;1989;6;1;177.4
1989-07-01;1989;7;1;76.3
1989-08-01;1989;8;1;230.8
1989-09-01;1989;9;1;35.8
1989-10-01;1989;10;1;0.0
1989-11-01;1989;11;1;0.0
1989-12-01;1989;12;1;0.0
1990-01-01;1990;1;1;0.0
1990-02-01;1990;2;1;0.0
1990-03-01;1990;3;1;0.0
1990-04-01;1990;4;1;0.0
1990-05-01;1990;5;1;0.0
1990-06-01;1990;6;1;67.8
1990-07-01;1990;7;1;162.5
1990-08-01;1990;8;1;429.1
1990-09-01;1990;9;1;430.2
1990-10-01;1990;10;1;19.6
1990-11-01;1990;11;1;0.0
1990-12-01;1990;12;1;0.0
1991-01-01;1991;1;1;0.0
1991-02-01;1991;2;1;0.0
1991-03-01;1991;3;1;0.0
1991-04-01;1991;4;1;0.0
1991-05-01;1991;5;1;0.0
1991-06-01;1991;6;1;33.0
1991-07-01;1991;7;1;249.31499999999994
1991-08-01;1991;8;1;253.1
1991-09-01;1991;9;1;18.6
1991-10-01;1991;10;1;0.0
1991-11-01;1991;11;1;0.0
